order_id,customers,city,state,order_date,total_units,revenue,product,category,brand,store,sales_rep,weekday,months,years
1,"Johnathan Velazquez",Pleasanton,CA,2016-01-01,2,1199.98,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland",Friday,January,2016
1,"Johnathan Velazquez",Pleasanton,CA,2016-01-01,1,599.99,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland",Friday,January,2016
1,"Johnathan Velazquez",Pleasanton,CA,2016-01-01,2,3098,"Surly Straggler - 2016","Cyclocross Bicycles",Surly,"Santa Cruz Bikes","Mireya Copeland",Friday,January,2016
1,"Johnathan Velazquez",Pleasanton,CA,2016-01-01,1,2899.99,"Trek Fuel EX 8 29 - 2016","Mountain Bikes",Trek,"Santa Cruz Bikes","Mireya Copeland",Friday,January,2016
1,"Johnathan Velazquez",Pleasanton,CA,2016-01-01,2,3599.98,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,"Santa Cruz Bikes","Mireya Copeland",Friday,January,2016
2,"Jaqueline Cummings","Huntington Station",NY,2016-01-01,2,1199.98,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Friday,January,2016
2,"Jaqueline Cummings","Huntington Station",NY,2016-01-01,1,599.99,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Friday,January,2016
3,"Joshua Robertson",Patchogue,NY,2016-01-02,1,599.99,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel",Saturday,January,2016
3,"Joshua Robertson",Patchogue,NY,2016-01-02,1,999.99,"Surly Wednesday Frameset - 2016","Mountain Bikes",Surly,"Baldwin Bikes","Venita Daniel",Saturday,January,2016
4,"Nova Hess",Duarte,CA,2016-01-03,2,1499.98,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes",Ritchey,"Santa Cruz Bikes","Genna Serrano",Sunday,January,2016
5,"Arla Ellis",Utica,NY,2016-01-03,1,599.99,"Electra Townie Original 7D EQ - 2016","Comfort Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Sunday,January,2016
5,"Arla Ellis",Utica,NY,2016-01-03,1,429,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles","Baldwin Bikes","Marcelene Boyer",Sunday,January,2016
5,"Arla Ellis",Utica,NY,2016-01-03,2,3098,"Surly Straggler - 2016","Cyclocross Bicycles",Surly,"Baldwin Bikes","Marcelene Boyer",Sunday,January,2016
6,"Sharyn Hopkins",Baldwinsville,NY,2016-01-04,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer",Monday,January,2016
